name,lat,lon
UGC Ciné Cité Les Halles,48.859801,2.346648
UGC Grand Normandie,48.872325,2.30075
UGC Normandie,48.872325,2.30075
UGC Ciné Cité Maillot,48.8786,2.283804
UGC Montparnasse,48.843489,2.325715
UGC Rotonde,48.842425,2.328938
UGC Odéon,48.852351,2.339873
UGC Danton,48.852138,2.338995
UGC Ciné Cité Bercy,48.832351,2.385499
UGC Lyon Bastille,48.847495,2.371872
UGC Gobelins,48.832886,2.354253
UGC Opéra,48.871338,2.335299
UGC Ciné Cité Paris 19,48.898999,2.376777
MK2 BEAUBOURG,48.861592,2.352245
MK2 ODEON (CÔTÉ ST GERMAIN),48.850017,2.349436
MK2 ODEON (CÔTÉ ST MICHEL),48.852188,2.342789
MK2 PARNASSE,48.842813,2.330526
MK2 GRAND PALAIS,48.865599,2.313144
MK2 BASTILLE (CÔTÉ BEAUMARCHAIS),48.854542,2.369053
MK2 BASTILLE (CÔTÉ FG SAINT ANTOINE),48.853155,2.370724
MK2 NATION,48.848222,2.393126
MK2 BIBLIOTHEQUE,48.833792,2.373992
MK2 QUAI DE LOIRE,48.883874,2.371566
MK2 QUAI DE SEINE,48.88508,2.371499
MK2 GAMBETTA,48.864763,2.399562
LE GRAND REX - LE REX,48.868486,2.347626
LUMINOR HOTEL DE VILLE,48.858697,2.353597
CINEMA DU PANTHEON,48.847509,2.342307
ÉCOLES CINÉMA CLUB,48.848455,2.348712
ÉPÉE DE BOIS,48.8413,2.349555
ESPACE SAINT MICHEL,48.853096,2.344233
LA FILMOTHEQUE QUARTIER LATIN,48.84951,2.34279
LE CHAMPO,48.84998,2.343223
LE GRAND ACTION,48.847538,2.352131
LE REFLET MEDICIS,48.849595,2.342839
STUDIO GALANDE,48.851614,2.347086
STUDIO DES URSULINES,48.842728,2.34206
CHRISTINE CINÉMA CLUB,48.854456,2.340147
L'ARLEQUIN,48.851279,2.330648
LE LUCERNAIRE,48.844242,2.330403
LE NOUVEL ODEON,48.850765,2.341749
LE SAINT-ANDRÉ DES ARTS,48.853364,2.342104
LES 3 LUXEMBOURG,48.848403,2.340782
LE BALZAC,48.87274,2.299723
LE LINCOLN,48.870519,2.303163
PUBLICIS,48.87279,2.297001
5 CAUMARTIN,48.875613,2.327928
MAX LINDER,48.871361,2.344899
L'ARCHIPEL,48.870469,2.354667
LE BRADY,48.871779,2.355403
LE LOUXOR,48.883472,2.349866
LE MAJESTIC BASTILLE,48.853991,2.369949
L'ESCURIAL,48.836817,2.349654
L'entrepôt,48.833947,2.316516
LES 7 PARNASSIENS,48.84244,2.327646
CHAPLIN DENFERT,48.833881,2.330987
CHAPLIN SAINT LAMBERT,48.843205,2.298558
CINEMA DES CINEASTES,48.8843,2.32689
MAC MAHON,48.875536,2.294479
UGC Ciné Cité La Défense ,48.89048,2.238012
UGC Issy-les-Moulineaux,48.826337,2.274519
UGC Ciné Cité Rosny,48.861417,2.493591
UGC Ciné Cité O Parinor ,48.956718,2.476239
UGC Ciné Cité Créteil,48.789517,2.447992
UGC Ciné Cité Noisy-le-Grand,48.840113,2.546596
UGC Ciné Cité Cergy-le-Haut,49.048993,2.011216
UGC Enghien,48.970841,2.307185
UGC Ciné Cité Vélizy,48.781184,2.220598
UGC Ciné Cité Parly,48.829162,2.116523
UGC Ciné Cité SQY Ouest,48.783808,2.040501
UGC Roxane,48.803954,2.133847
UGC Cyrano,48.807883,2.130901
UGC Les Ulis,48.684875,2.177692
UGC Plaisir,48.826056,1.959477
Le Central,48.701841,2.134154
C2L Saint Germain,48.896605,2.090977
Le Cin’Hoche,48.937892,2.159419
C2L Poissy,48.928094,2.044707
UGC Le Majestic,48.95945,2.882959
CINEMA LE STUDIO,48.910534,2.384966
CINEMA JACQUES PREVERT,48.940586,2.496291
LA PLEIADE,48.795798,2.335319
CINÉMA LOUIS JOUVET,48.886945,2.156391
CINÉMA RUTEBEUF,48.90196,2.309342
LOUIS DAQUIN,48.938835,2.463939
CENTRE DES BORDS DE MARNE,48.84694,2.509968
JEAN MARAIS,48.893988,2.134326
L'ATALANTE,48.946355,2.147062
LE FONTENELLE,48.871218,2.095764
CINEMASSY,48.732221,2.28924
CINÉMA L'EDEN,48.988818,2.318091
LE ROYAL PALACE,48.838331,2.489437
LE BIJOU,48.848845,2.552434
ARIEL RUEIL,48.879844,2.180852
ARIEL HAUTS DE RUEIL,48.862272,2.195082
LES 4 DELTA,48.800303,2.330034
L’ÉCRAN,48.936793,2.359103
LE LIDO,48.810677,2.470647
CINEMA ESPACE 1789,48.90816,2.333609
LE CAPITOLE,48.870492,2.228637
LE NORMANDY,48.837881,2.1575
L'ANTARES,49.030135,2.021192
3 CINES ROBESPIERRE,48.790917,2.388153
UGC Ciné Cité Bordeaux Gambetta,44.8405,-0.581993
UGC Ciné Cité Bassins à Flot,44.866428,-0.561068
UGC Talence,44.811675,-0.592557
GRAND ÉCRAN ARCACHON,44.661913,-1.168863
GRAND ECRAN LANGON,44.544611,-0.265141
GRAND ECRAN LANGON RIO CENTRE-VILLE,44.552991,-0.24509
GRAND ÉCRAN LA TESTE DE BUCH,44.637671,-1.15486
GRAND ÉCRAN LIBOURNE,44.913546,-0.237461
CINEMA SAINTE EULALIE,44.907392,-0.485481
CINÉMA LA LANTERNE,44.813207,-0.563983
UGC Ciné Cité Mondeville,49.179966,-0.307041
UGC Ciné Cité Lille,50.617801,3.027511
UGC Ciné Cité Villeneuve d'Ascq,50.616524,3.124407
Le Métropole,50.620979,3.070109
Le Majestic,50.61762,3.026486
Le Duplexe,50.692559,3.178442
Les Écrans,50.723682,3.167681
LES LUMIÈRES,50.68172,2.878036
PALACE,50.174894,3.236641
KINO CINÉ,50.626325,3.125934
LE PONT DES ARTS,50.666513,3.075476
GRAND ECRAN ESTER,45.85345,1.284302
HORIZON GRAND ECRAN,45.837967,1.252569
LE LIDO,45.833338,1.265036
UGC Ciné Cité Internationale,46.264297,6.116653
UGC Ciné Cité Confluence,45.740811,4.818981
UGC Astoria,45.769658,4.853015
UGC Ciné Cité Part-Dieu,45.759526,4.846479
UGC Nancy Saint Jean,48.689747,6.17894
UGC Ciné Cité Ludres,48.617851,6.173437
CAMEO SAINT SEBASTIEN,48.689029,6.178703
CAMEO COMMANDERIE,48.687048,6.172163
LE ROYAL,48.699609,6.207734
UGC Ciné Cité Atlantis,47.900199,-4.022659
UGC Ciné Cité Strasbourg,48.572935,7.764923
CINÉMA VOX,48.581753,7.746397
LE COSMOS,48.582619,7.745926
LE STAR,48.583704,7.74248
LE STAR SAINT EXUPERY,48.582745,7.742385
UGC Montaudran,43.57164,1.479389
